VALUATION DATE,FUND_NAME_1_EN,CLASS_FUND_1_EN,FUND_NAME_1_ZH,CLASS_FUND_1_ZH,FUND_1_PRICE_HKD
17/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
18/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
19/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
22/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
23/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
24/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
25/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
26/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
29/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
30/04/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
02/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
03/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
06/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
07/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
08/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
09/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0321
10/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
13/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
14/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
15/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
16/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
17/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
21/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
22/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
23/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
24/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0322
28/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
29/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
30/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
31/05/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
03/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
04/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
05/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
06/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
07/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
10/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
11/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
12/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0323
13/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
14/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0324
17/06/2002,Sun Life MPF Conservative Fund,Class A,永明強積金保守基金,A類單位,1.0325
